boosting_type,class_weight,colsample_bytree,learning_rate,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample_for_bin,subsample,loss,iteration,boosting_int
gbdt,,0.7509976837490597,0.0765662254430488,270,48,0.18975516926895872,0.8439863690273732,60000,0.6704269318204827,0.23297857831933,58,1
gbdt,,0.6360579437253503,0.025589524703428467,270,33,0.6310575838230993,0.9607322066066706,40000,0.7260896543263929,0.2351599760522312,27,1
gbdt,,0.7258257081470649,0.07099631154713852,280,77,0.5026433123801513,0.9026237515182737,40000,0.6384270218145534,0.23526645537249855,70,1
gbdt,,0.6135477238595343,0.04192719099324077,260,33,0.3971761615016543,0.8701409951216755,200000,0.6832505235186916,0.2355951117553201,89,1
gbdt,,0.7655351825742228,0.13116407742922698,220,70,0.5869334186053297,0.9622501772566364,20000,0.6001175741317574,0.23580095620628594,64,1
gbdt,,0.620649129448606,0.017934544496484815,260,30,0.2092981310373776,0.8946886330215067,20000,0.8731487506937664,0.23588638493201355,5,1
gbdt,,0.7885585008423576,0.07367710484047449,240,88,0.3752635568173021,0.030043087746579045,40000,0.6542229127059294,0.2359875024683943,63,1
gbdt,,0.7553374995937607,0.10681178961870429,235,40,0.618067720748362,0.7900583367110634,180000,0.534560091553434,0.23614793813814505,98,1
gbdt,,0.8093302901105419,0.13329433778740934,260,72,0.5756662891302584,0.963500696811953,20000,0.5934032485212357,0.2361912740849952,66,1
gbdt,,0.6437690313368148,0.09715910081224566,370,36,0.4637176406705127,0.8430676387196431,120000,0.7931705881671917,0.2364684612952989,96,1
gbdt,,0.8185259348671011,0.08396527625443338,270,60,0.48447121415609884,0.8401914517494683,60000,0.6758617617004369,0.23652794006352065,59,1
gbdt,,0.739796055150533,0.09983497675849332,270,34,0.42751905386000943,0.8016047280050413,140000,0.6768283156160768,0.2365907513741428,75,1
gbdt,,0.6774380520624521,0.08509659283281991,290,114,0.8685921568342315,0.8173323673253019,20000,0.8907009616114481,0.23682546734649498,97,1
gbdt,,0.6042465490298499,0.027218649630775457,270,51,0.5948175235988165,0.9636061984397639,60000,0.6907137438306581,0.23686604152329616,26,1
gbdt,,0.7210188326438938,0.06026039416776578,280,100,0.500686691684887,0.8601081979269987,80000,0.6976565408977686,0.2369745468611389,74,1
gbdt,,0.6666443172229086,0.05744755877242924,230,43,0.7133013749891295,0.7589407773706418,40000,0.625839548671577,0.2370811545771513,78,1
gbdt,balanced,0.840335809913853,0.04107118184854267,240,87,0.6039908466214884,0.47025739270474004,80000,0.6472340003710114,0.23743243131864897,81,1
gbdt,,0.8205181140874376,0.03361394808732983,275,53,0.03264530073325064,0.6906235224118105,140000,0.5852642349773399,0.23782019235588936,88,1
gbdt,,0.8521050429551839,0.04355103574531496,255,53,0.40539486058597274,0.6575768704806373,140000,0.8515416084168261,0.23795902936629365,35,1
gbdt,,0.6015411259450753,0.03995364708175951,190,108,0.08379653608091919,0.9415083611387332,120000,0.9933268037436069,0.2382160019561008,55,1
gbdt,,0.6004904878479266,0.03103352832834856,250,58,0.4128885365445767,0.9978887158403177,140000,0.7452480536865648,0.2382278394550817,32,1
gbdt,,0.7102443535086047,0.04548586342954673,400,93,0.14326852753087893,0.6469392872784613,160000,0.5174571699737796,0.238318106429644,87,1
gbdt,,0.6720242739445408,0.010395111872277856,490,92,0.0057102465414531275,0.8676835101650509,100000,0.673846527634085,0.23841297700841504,23,1
goss,,0.65842212789399,0.01753421345678486,150,124,0.12929462230975883,0.5350776339894938,40000,1.0,0.23868395174293575,53,2
gbdt,,0.782711636308066,0.06784049312211747,310,118,0.3847956006460591,0.5567626641571933,60000,0.5773531779209471,0.23881250938438334,76,1
gbdt,,0.746465194418216,0.06415277641154056,300,46,0.5400949460485138,0.35123623681510796,80000,0.6188165624111014,0.23883993827584804,40,1
gbdt,,0.6370518020341909,0.014988077865732707,295,51,0.6328210600715574,0.9799519748936334,60000,0.6065200324106028,0.2389176085905612,30,1
gbdt,,0.7012324439721949,0.06694091438946889,250,73,0.18241848913681136,0.9818376724928473,40000,0.6601825926291809,0.2391307936056901,93,1
gbdt,,0.6343601449779234,0.026568172307769318,280,30,0.6833648830862724,0.3047999260552269,20000,0.8784761693373023,0.23918402765902255,28,1
gbdt,balanced,0.6205890531631009,0.03210513149120729,205,39,0.9017466186178421,0.7630857114627184,60000,0.9767140483028351,0.23931598456380376,39,1
gbdt,,0.6782078801288377,0.07087014295877467,290,77,0.5218620600849652,0.8322251677776744,80000,0.633447038555252,0.2395187911097664,71,1
gbdt,,0.6459673880069475,0.03926833662113072,455,124,0.45203887376261737,0.6221984012255094,40000,0.797470494228335,0.2395223009672518,43,1
goss,,0.7596697891065423,0.17232942613953312,485,117,0.010598426894564361,0.7063665010867298,120000,1.0,0.2398287143291109,16,2
gbdt,,0.6907825999906001,0.013628147485817513,360,84,0.23871409788131917,0.8016986997571902,20000,0.8750225774617348,0.2398579326311451,25,1
gbdt,balanced,0.6840570456800067,0.03759428903758607,430,45,0.9913615050142018,0.9988628520584912,120000,0.7798825355682135,0.2398955260923141,85,1
gbdt,,0.8306798436672667,0.016763932096288195,385,76,0.8252782205192666,0.8471098824010423,260000,0.7116453666873006,0.2400128307437949,41,1
gbdt,,0.6773196432635425,0.035689101899805516,285,105,0.3103951714981847,0.2553889257530264,240000,0.8327116466117159,0.24020729941584984,49,1
gbdt,,0.7721840736345276,0.09408058332425566,215,51,0.6200553569950623,0.9893331782065503,20000,0.6923138438476912,0.2402721060468116,67,1
gbdt,,0.8895827032787222,0.019895372995915026,230,31,0.22815041599155958,0.9189997293359177,140000,0.8588684629701142,0.2403351787745349,44,1
gbdt,,0.6653288148184116,0.19802256882096753,320,90,0.05508536902989189,0.878442626206101,80000,0.9472675319665234,0.2410805289702852,21,1
gbdt,,0.7149852183574651,0.014467493833979455,410,36,0.37036377813204047,0.5818011047102544,60000,0.9547753450937454,0.2410910711580433,52,1
gbdt,,0.7237653361507131,0.09016742272164452,470,59,0.951334145814096,0.20287749635851576,180000,0.7352090073066856,0.2412389083457347,80,1
gbdt,,0.6468675485166867,0.05248732646958297,320,55,0.6463465055690292,0.6627329473999867,40000,0.7341852056076005,0.24130423991344896,73,1
gbdt,balanced,0.9586667963759735,0.11283660807247572,210,85,0.22645505433422206,0.45842407735482127,80000,0.5511643188456166,0.2413297097886111,54,1
gbdt,,0.9039081426537048,0.05023543320874673,335,80,0.442046944492283,0.8787193147813884,100000,0.5605786736003794,0.2414498688625292,62,1
gbdt,,0.7021760646812596,0.02636796783982181,200,35,0.603369495677075,0.6382306447608685,40000,0.7470861278243799,0.2414723367162155,29,1
gbdt,balanced,0.6301430308989071,0.1508380629750006,190,79,0.5535043021985534,0.42907601381795485,20000,0.8141294890866627,0.2415233117893869,90,1
goss,,0.8048566844384929,0.019199675385015214,225,102,0.1916434813532829,0.6896940625642513,200000,1.0,0.24153661070107324,14,2
gbdt,,0.7039309001814407,0.08400343203505123,335,93,0.5517584991417421,0.9008314423963993,60000,0.7648013494085205,0.24161325651305646,72,1
goss,,0.71721668104041,0.03565154266775181,225,70,0.41007410794253185,0.45276116373350317,280000,1.0,0.24187252592893205,15,2
gbdt,,0.6638719080200297,0.1284813716815191,315,82,0.0708678790296157,0.856809841017921,20000,0.9733370199308299,0.2418802832185865,22,1
gbdt,,0.6532377694780975,0.010464334568785174,320,147,0.10942021059758994,0.8875164434985663,80000,0.6491547847672849,0.2418864666791737,24,1
gbdt,,0.7290261673722858,0.022434887000252476,355,40,0.5102695958241481,0.784361016878536,80000,0.906169886907838,0.24193061841558305,31,1
goss,,0.6936407084191893,0.06214147488800304,180,55,0.04063147925304314,0.7020021328407344,300000,1.0,0.2419399003346252,56,2
gbdt,,0.7337522781095079,0.02179596504665995,350,148,0.26930400839244084,0.919556543624854,160000,0.7826778049403744,0.24194735948263124,38,1
gbdt,balanced,0.7095894612256991,0.047978850945945346,165,57,0.3410758191624865,0.7353503821100222,120000,0.8346392911256826,0.2420712556296487,42,1
gbdt,balanced,0.6883223800498356,0.14085321002938414,200,68,0.4315661248063197,0.7249957787162701,80000,0.5646643597347488,0.2421172576104195,94,1
gbdt,balanced,0.6857912386526215,0.012455066142921014,160,98,0.7248186100563592,0.808593071608181,20000,0.7197166018512157,0.24219653665653665,37,1
gbdt,balanced,0.7878722696495764,0.048936410244575575,410,132,0.17616663325172033,0.7234573267040174,180000,0.5211750033711255,0.2422127239118068,11,1
gbdt,balanced,0.8700211030925368,0.10266024920315298,305,48,0.2612897340730558,0.6175588215783405,100000,0.5006546950081592,0.2423149943466625,60,1
gbdt,balanced,0.7139275210102582,0.05965568800007035,500,103,0.5110985316321861,0.7682111620286871,40000,0.6433239506693471,0.2423459562236669,99,1
gbdt,,0.7471329903426867,0.024138399383108283,435,32,0.8283179917407417,0.7586014617603685,160000,0.7201250258208436,0.2423717002714028,50,1
gbdt,,0.6284762852199358,0.15353629213756204,115,96,0.7377153106781472,0.11441766482813243,280000,0.6352385063465081,0.2424008547960745,57,1
gbdt,,0.8071553780123252,0.07938665788099188,360,49,0.47683625820426956,0.9203270460258652,20000,0.8089836006476908,0.24247311622977166,79,1
gbdt,,0.7419260207538586,0.02167891873414852,325,65,0.3461954191529658,0.9426528243581161,220000,0.7327785845076917,0.2425653460052272,92,1
goss,,0.9988228677752106,0.040118914534607024,475,70,0.8695100073452218,0.44076667329472063,160000,1.0,0.24259090418750676,9,2
gbdt,,0.6966820646316267,0.033295678482587715,345,130,0.19186378987504976,0.7219123016708088,100000,0.6625909895975313,0.2426535873827239,77,1
goss,,0.6675562277854115,0.054266109634139234,300,56,0.2596241897409508,0.9009546114133463,60000,1.0,0.24292631242037646,91,2
goss,,0.6520240162767511,0.029992106502819752,170,109,0.8017545967634658,0.32106864099566046,60000,1.0,0.24314749441590636,86,2
gbdt,balanced,0.7326787636533016,0.017532163285674928,420,34,0.78739503162987,0.5520827853417427,220000,0.5140566400846498,0.2432518561875703,10,1
goss,balanced,0.836322260532667,0.04575976223176028,395,42,0.3097848735153798,0.8992132016893537,120000,1.0,0.2447630725651261,65,2
gbdt,balanced,0.616632136946937,0.07642495713454167,110,38,0.5649803304756255,0.3974669355340731,100000,0.9130067688604946,0.24486931696042746,47,1
goss,,0.7723019108689622,0.10875645732896141,380,112,0.002436386070584051,0.09460288039448272,180000,1.0,0.24490182210943326,19,2
gbdt,,0.8187450512374068,0.023341833460910864,140,77,0.6804802558312222,0.15943369646432448,100000,0.580095748920592,0.24499549241226004,34,1
gbdt,balanced,0.7954381746959474,0.05562128469402514,335,137,0.1550390246522547,0.5047939062350381,220000,0.7687772033150528,0.24510210082912265,45,1
goss,balanced,0.9759288041313645,0.08783831758750019,230,44,0.16571225625681618,0.43702345115978314,120000,1.0,0.24526115231985315,6,2
gbdt,,0.8784345510768649,0.016736982525478256,200,42,0.4649545592873986,0.5099496378452261,120000,0.9224873600960377,0.2454764261487299,36,1
gbdt,,0.7531150871596571,0.02483361334380303,135,38,0.769571764369892,0.8041708592301033,100000,0.708142946330751,0.2454941625631423,84,1
gbdt,,0.7325434672801496,0.17721228889762367,185,63,0.689764734525928,0.7823273827857298,60000,0.5401989795483477,0.24567874294061695,68,1
goss,,0.8467350612751908,0.07866054762015,415,118,0.47827923423293384,0.0627262749115356,140000,1.0,0.2459209104917939,4,2
goss,,0.7949627096480614,0.028081100426489723,375,82,0.6576923991416059,0.3897470093274071,40000,1.0,0.2463746063885461,82,2
goss,,0.9963892865558668,0.011485716943186501,390,47,0.7382790193202043,0.8217619440457093,180000,1.0,0.2465468136773652,46,2
gbdt,balanced,0.7706879189819607,0.03598378193909862,135,67,0.9645612747608906,0.9616204046171472,60000,0.5253657477796922,0.2467951208159106,18,1
gbdt,,0.8645647885757192,0.1207687441403687,155,75,0.30783235440132756,0.6091298736947075,20000,0.7600662056941211,0.2468455789420212,83,1
goss,,0.7254060088054466,0.17532683193256118,450,141,0.7034225716215197,0.4824736438266536,100000,1.0,0.24718236742915056,95,2
gbdt,balanced,0.9257211250565995,0.018675872988718433,170,126,0.5985119228590867,0.5845451820124326,300000,0.825507448104468,0.24742230739825244,1,1
goss,,0.753886764467195,0.15040680257423508,370,65,0.8542334532415163,0.7389352199496072,80000,1.0,0.24745612636092476,61,2
goss,,0.6090182095415124,0.05004250394026517,340,61,0.11387526477036092,0.5254740588015381,80000,1.0,0.2474932403004304,100,2
goss,,0.9342458209457409,0.02930588425344908,245,62,0.92442206452377,0.6789062039034083,20000,1.0,0.24876267235166394,48,2
gbdt,,0.6343488642464081,0.014950111707049489,30,30,0.5308700039345118,0.9288523739383576,40000,0.8071669360226218,0.2488097223837293,33,1
goss,balanced,0.6112261018953945,0.09300560371484937,175,66,0.3479679339377224,0.7792709409751215,100000,1.0,0.2494591839457997,8,2
gbdt,,0.7623807440883316,0.11462753510400055,90,68,0.7680466684349776,0.945396554213728,40000,0.6102530541611829,0.2500636324266425,69,1
goss,,0.9160995824938298,0.019312347539552403,175,112,0.7926928706035059,0.37338116932867904,200000,1.0,0.2505863167869531,7,2
gbdt,balanced,0.9746144284726697,0.05565441586040854,125,102,0.8878029074840853,0.9836336562472392,220000,0.785129658330384,0.2525419935384983,3,1
goss,balanced,0.9470180738948503,0.011767912024933956,110,114,0.3369787449812449,0.5773835691302064,40000,1.0,0.2543155930689174,17,2
goss,,0.6136306646380102,0.19551187838964745,435,45,0.2878847550683644,0.01708657132205149,240000,1.0,0.2552460431122635,12,2
goss,balanced,0.7775701264439969,0.019992522062407665,65,72,0.655704095381275,0.9967574501136798,200000,1.0,0.25536552880936997,51,2
goss,,0.8563420176866683,0.06644368221542607,85,66,0.776616518870496,0.5854944753883532,300000,1.0,0.2554872036819639,20,2
goss,balanced,0.9166504738468104,0.055447027994085955,65,61,0.9748302452710026,0.23383881520136884,40000,1.0,0.26638116480395657,13,2
gbdt,balanced,0.8970523178797932,0.035742378218536576,45,138,0.5005020213127344,0.45121616279208887,260000,0.6614743075688195,0.2699986616565787,2,1
